state,month,cases
Alabama,2020-01,0
Alabama,2020-02,0
Alabama,2020-03,999
Alabama,2020-04,6069
Alabama,2020-05,10884
Alabama,2020-06,20093
Alabama,2020-07,49678
Alabama,2020-08,38335
Alabama,2020-09,28643
Alabama,2020-10,16961
Alaska,2020-01,0
Alaska,2020-02,0
Alaska,2020-03,133
Alaska,2020-04,220
Alaska,2020-05,116
Alaska,2020-06,663
Alaska,2020-07,2543
Alaska,2020-08,2400
Alaska,2020-09,2632
Alaska,2020-10,3003
Arizona,2020-01,1
Arizona,2020-02,0
Arizona,2020-03,1297
Arizona,2020-04,6350
Arizona,2020-05,12288
Arizona,2020-06,59463
Arizona,2020-07,94709
Arizona,2020-08,27758
Arizona,2020-09,16645
Arizona,2020-10,11901
Arkansas,2020-01,0
Arkansas,2020-02,0
Arkansas,2020-03,564
Arkansas,2020-04,2717
Arkansas,2020-05,3972
Arkansas,2020-06,13524
Arkansas,2020-07,21734
Arkansas,2020-08,18713
Arkansas,2020-09,22473
Arkansas,2020-10,14725
California,2020-01,3
California,2020-02,25
California,2020-03,8555
California,2020-04,41887
California,2020-05,62644
California,2020-06,119039
California,2020-07,270120
California,2020-08,210268
California,2020-09,108584
California,2020-10,55132
Colorado,2020-01,0
Colorado,2020-02,0
Colorado,2020-03,2990
Colorado,2020-04,12217
Colorado,2020-05,11157
Colorado,2020-06,6334
Colorado,2020-07,14250
Colorado,2020-08,10849
Colorado,2020-09,13293
Colorado,2020-10,13714
Connecticut,2020-01,0
Connecticut,2020-02,0
Connecticut,2020-03,3128
Connecticut,2020-04,24572
Connecticut,2020-05,14501
Connecticut,2020-06,4313
Connecticut,2020-07,3296
Connecticut,2020-08,3069
Connecticut,2020-09,4671
Connecticut,2020-10,5280
Delaware,2020-01,0
Delaware,2020-02,0
Delaware,2020-03,319
Delaware,2020-04,4415
Delaware,2020-05,4764
Delaware,2020-06,1976
Delaware,2020-07,3314
Delaware,2020-08,2641
Delaware,2020-09,3184
Delaware,2020-10,2329
District of Columbia,2020-01,0
District of Columbia,2020-02,0
District of Columbia,2020-03,495
District of Columbia,2020-04,3828
District of Columbia,2020-05,4478
District of Columbia,2020-06,1526
District of Columbia,2020-07,1799
District of Columbia,2020-08,1866
District of Columbia,2020-09,1334
District of Columbia,2020-10,1008
Florida,2020-01,0
Florida,2020-02,0
Florida,2020-03,6742
Florida,2020-04,26941
Florida,2020-05,22472
Florida,2020-06,96271
Florida,2020-07,317952
Florida,2020-08,153085
Florida,2020-09,83045
Florida,2020-10,45965
Georgia,2020-01,0
Georgia,2020-02,0
Georgia,2020-03,4116
Georgia,2020-04,21315
Georgia,2020-05,19620
Georgia,2020-06,32229
Georgia,2020-07,94062
Georgia,2020-08,82896
Georgia,2020-09,47247
Georgia,2020-10,23290
Guam,2020-01,0
Guam,2020-02,0
Guam,2020-03,139
Guam,2020-04,976
Guam,2020-05,29
Guam,2020-06,84
Guam,2020-07,97
Guam,2020-08,1039
Guam,2020-09,1093
Guam,2020-10,1050
Hawaii,2020-01,0
Hawaii,2020-02,0
Hawaii,2020-03,224
Hawaii,2020-04,385
Hawaii,2020-05,33
Hawaii,2020-06,259
Hawaii,2020-07,1187
Hawaii,2020-08,6359
Hawaii,2020-09,4108
Hawaii,2020-10,1546
Idaho,2020-01,0
Idaho,2020-02,0
Idaho,2020-03,526
Idaho,2020-04,1490
Idaho,2020-05,839
Idaho,2020-06,3269
Idaho,2020-07,14729
Idaho,2020-08,11403
Idaho,2020-09,10293
Idaho,2020-10,10033
Illinois,2020-01,2
Illinois,2020-02,1
Illinois,2020-03,5989
Illinois,2020-04,46926
Illinois,2020-05,67670
Illinois,2020-06,24073
Illinois,2020-07,36040
Illinois,2020-08,56981
Illinois,2020-09,59253
Illinois,2020-10,47852
Indiana,2020-01,0
Indiana,2020-02,0
Indiana,2020-03,2177
Indiana,2020-04,15922
Indiana,2020-05,17330
Indiana,2020-06,11311
Indiana,2020-07,21060
Indiana,2020-08,28477
Indiana,2020-09,26018
Indiana,2020-10,26105
Iowa,2020-01,0
Iowa,2020-02,0
Iowa,2020-03,498
Iowa,2020-04,6647
Iowa,2020-05,12476
Iowa,2020-06,9531
Iowa,2020-07,15601
Iowa,2020-08,20499
Iowa,2020-09,23996
Iowa,2020-10,17450
Kansas,2020-01,0
Kansas,2020-02,0
Kansas,2020-03,435
Kansas,2020-04,3870
Kansas,2020-05,5573
Kansas,2020-06,4751
Kansas,2020-07,13492
Kansas,2020-08,15286
Kansas,2020-09,17550
Kansas,2020-10,11659
Kentucky,2020-01,0
Kentucky,2020-02,0
Kentucky,2020-03,590
Kentucky,2020-04,4118
Kentucky,2020-05,5229
Kentucky,2020-06,5979
Kentucky,2020-07,15065
Kentucky,2020-08,19903
Kentucky,2020-09,21946
Kentucky,2020-10,15993
Louisiana,2020-01,0
Louisiana,2020-02,0
Louisiana,2020-03,5237
Louisiana,2020-04,22807
Louisiana,2020-05,11977
Louisiana,2020-06,18182
Louisiana,2020-07,58191
Louisiana,2020-08,32500
Louisiana,2020-09,18564
Louisiana,2020-10,10268
Maine,2020-01,0
Maine,2020-02,0
Maine,2020-03,303
Maine,2020-04,792
Maine,2020-05,1230
Maine,2020-06,928
Maine,2020-07,659
Maine,2020-08,614
Maine,2020-09,865
Maine,2020-10,522
Maryland,2020-01,0
Maryland,2020-02,0
Maryland,2020-03,1662
Maryland,2020-04,20163
Maryland,2020-05,31631
Maryland,2020-06,14696
Maryland,2020-07,20755
Maryland,2020-08,19835
Maryland,2020-09,16475
Maryland,2020-10,10246
Massachusetts,2020-01,0
Massachusetts,2020-02,1
Massachusetts,2020-03,6619
Massachusetts,2020-04,55585
Massachusetts,2020-05,34760
Massachusetts,2020-06,11917
Massachusetts,2020-07,8730
Massachusetts,2020-08,10921
Massachusetts,2020-09,3583
Massachusetts,2020-10,10814
Michigan,2020-01,0
Michigan,2020-02,0
Michigan,2020-03,7629
Michigan,2020-04,33719
Michigan,2020-05,16007
Michigan,2020-06,13495
Michigan,2020-07,19902
Michigan,2020-08,22411
Michigan,2020-09,24911
Michigan,2020-10,21185
Minnesota,2020-01,0
Minnesota,2020-02,0
Minnesota,2020-03,629
Minnesota,2020-04,4507
Minnesota,2020-05,19724
Minnesota,2020-06,11478
Minnesota,2020-07,18165
Minnesota,2020-08,21410
Minnesota,2020-09,23274
Minnesota,2020-10,21956
Mississippi,2020-01,0
Mississippi,2020-02,0
Mississippi,2020-03,937
Mississippi,2020-04,5878
Mississippi,2020-05,8686
Mississippi,2020-06,11747
Mississippi,2020-07,31499
Mississippi,2020-08,24203
Mississippi,2020-09,15240
Mississippi,2020-10,11816
Missouri,2020-01,0
Missouri,2020-02,0
Missouri,2020-03,1350
Missouri,2020-04,6213
Missouri,2020-05,5734
Missouri,2020-06,8978
Missouri,2020-07,28799
Missouri,2020-08,35254
Missouri,2020-09,43737
Missouri,2020-10,30589
Montana,2020-01,0
Montana,2020-02,0
Montana,2020-03,198
Montana,2020-04,254
Montana,2020-05,63
Montana,2020-06,452
Montana,2020-07,3010
Montana,2020-08,3463
Montana,2020-09,5739
Montana,2020-10,9105
Nebraska,2020-01,0
Nebraska,2020-02,13
Nebraska,2020-03,186
Nebraska,2020-04,4133
Nebraska,2020-05,9769
Nebraska,2020-06,5093
Nebraska,2020-07,7017
Nebraska,2020-08,8076
Nebraska,2020-09,11277
Nebraska,2020-10,11770
Nevada,2020-01,0
Nevada,2020-02,0
Nevada,2020-03,1113
Nevada,2020-04,3940
Nevada,2020-05,3575
Nevada,2020-06,9954
Nevada,2020-07,29560
Nevada,2020-08,21176
Nevada,2020-09,10766
Nevada,2020-10,9764
New Hampshire,2020-01,0
New Hampshire,2020-02,0
New Hampshire,2020-03,367
New Hampshire,2020-04,1779
New Hampshire,2020-05,2505
New Hampshire,2020-06,1131
New Hampshire,2020-07,801
New Hampshire,2020-08,692
New Hampshire,2020-09,991
New Hampshire,2020-10,1359
New Jersey,2020-01,0
New Jersey,2020-02,0
New Jersey,2020-03,18696
New Jersey,2020-04,99956
New Jersey,2020-05,41793
New Jersey,2020-06,13076
New Jersey,2020-07,10014
New Jersey,2020-08,10205
New Jersey,2020-09,13322
New Jersey,2020-10,13465
New Mexico,2020-01,0
New Mexico,2020-02,0
New Mexico,2020-03,315
New Mexico,2020-04,3096
New Mexico,2020-05,4278
New Mexico,2020-06,4458
New Mexico,2020-07,8453
New Mexico,2020-08,4752
New Mexico,2020-09,4083
New Mexico,2020-10,6908
New York,2020-01,0
New York,2020-02,0
New York,2020-03,76211
New York,2020-04,233485
New York,2020-05,65879
New York,2020-06,22567
New York,2020-07,21581
New York,2020-08,19757
New York,2020-09,23889
New York,2020-10,24257
North Carolina,2020-01,0
North Carolina,2020-02,0
North Carolina,2020-03,1527
North Carolina,2020-04,8980
North Carolina,2020-05,18179
North Carolina,2020-06,36378
North Carolina,2020-07,57306
North Carolina,2020-08,45619
North Carolina,2020-09,43015
North Carolina,2020-10,33016
North Dakota,2020-01,0
North Dakota,2020-02,0
North Dakota,2020-03,126
North Dakota,2020-04,941
North Dakota,2020-05,1513
North Dakota,2020-06,1005
North Dakota,2020-07,2888
North Dakota,2020-08,5347
North Dakota,2020-09,10029
North Dakota,2020-10,9417
Northern Mariana Islands,2020-01,0
Northern Mariana Islands,2020-02,0
Northern Mariana Islands,2020-03,2
Northern Mariana Islands,2020-04,12
Northern Mariana Islands,2020-05,8
Northern Mariana Islands,2020-06,8
Northern Mariana Islands,2020-07,12
Northern Mariana Islands,2020-08,14
Northern Mariana Islands,2020-09,14
Northern Mariana Islands,2020-10,16
Ohio,2020-01,0
Ohio,2020-02,0
Ohio,2020-03,2199
Ohio,2020-04,15828
Ohio,2020-05,17486
Ohio,2020-06,16276
Ohio,2020-07,39370
Ohio,2020-08,31998
Ohio,2020-09,30830
Ohio,2020-10,26238
Oklahoma,2020-01,0
Oklahoma,2020-02,0
Oklahoma,2020-03,566
Oklahoma,2020-04,3052
Oklahoma,2020-05,2888
Oklahoma,2020-06,7251
Oklahoma,2020-07,22699
Oklahoma,2020-08,22277
Oklahoma,2020-09,28466
Oklahoma,2020-10,19304
Oregon,2020-01,0
Oregon,2020-02,1
Oregon,2020-03,689
Oregon,2020-04,1820
Oregon,2020-05,1733
Oregon,2020-06,4452
Oregon,2020-07,9815
Oregon,2020-08,8213
Oregon,2020-09,6831
Oregon,2020-10,5762
Pennsylvania,2020-01,0
Pennsylvania,2020-02,0
Pennsylvania,2020-03,4997
Pennsylvania,2020-04,43227
Pennsylvania,2020-05,27994
Pennsylvania,2020-06,15008
Pennsylvania,2020-07,25561
Pennsylvania,2020-08,22053
Pennsylvania,2020-09,25295
Pennsylvania,2020-10,21535
Puerto Rico,2020-01,0
Puerto Rico,2020-02,0
Puerto Rico,2020-03,239
Puerto Rico,2020-04,1298
Puerto Rico,2020-05,2239
Puerto Rico,2020-06,3689
Puerto Rico,2020-07,9316
Puerto Rico,2020-08,16418
Puerto Rico,2020-09,15556
Puerto Rico,2020-10,7895
Rhode Island,2020-01,0
Rhode Island,2020-02,0
Rhode Island,2020-03,488
Rhode Island,2020-04,8133
Rhode Island,2020-05,6307
Rhode Island,2020-06,1885
Rhode Island,2020-07,2209
Rhode Island,2020-08,2927
Rhode Island,2020-09,2799
Rhode Island,2020-10,2943
South Carolina,2020-01,0
South Carolina,2020-02,0
South Carolina,2020-03,1083
South Carolina,2020-04,5012
South Carolina,2020-05,5766
South Carolina,2020-06,24538
South Carolina,2020-07,52617
South Carolina,2020-08,29976
South Carolina,2020-09,28950
South Carolina,2020-10,15272
South Dakota,2020-01,0
South Dakota,2020-02,0
South Dakota,2020-03,107
South Dakota,2020-04,2343
South Dakota,2020-05,2543
South Dakota,2020-06,1771
South Dakota,2020-07,2000
South Dakota,2020-08,4745
South Dakota,2020-09,8880
South Dakota,2020-10,10222
Tennessee,2020-01,0
Tennessee,2020-02,0
Tennessee,2020-03,2049
Tennessee,2020-04,8457
Tennessee,2020-05,12326
Tennessee,2020-06,19983
Tennessee,2020-07,60329
Tennessee,2020-08,48889
Tennessee,2020-09,41324
Tennessee,2020-10,29251
Texas,2020-01,0
Texas,2020-02,11
Texas,2020-03,3577
Texas,2020-04,25484
Texas,2020-05,35902
Texas,2020-06,101729
Texas,2020-07,276387
Texas,2020-08,197227
Texas,2020-09,143710
Texas,2020-10,79507
Utah,2020-01,0
Utah,2020-02,1
Utah,2020-03,886
Utah,2020-04,3785
Utah,2020-05,5157
Utah,2020-06,12535
Utah,2020-07,17894
Utah,2020-08,11908
Utah,2020-09,20887
Utah,2020-10,20244
Vermont,2020-01,0
Vermont,2020-02,0
Vermont,2020-03,293
Vermont,2020-04,573
Vermont,2020-05,115
Vermont,2020-06,227
Vermont,2020-07,206
Vermont,2020-08,210
Vermont,2020-09,128
Vermont,2020-10,174
Virgin Islands,2020-01,0
Virgin Islands,2020-02,0
Virgin Islands,2020-03,30
Virgin Islands,2020-04,36
Virgin Islands,2020-05,4
Virgin Islands,2020-06,20
Virgin Islands,2020-07,316
Virgin Islands,2020-08,733
Virgin Islands,2020-09,179
Virgin Islands,2020-10,17
Virginia,2020-01,0
Virginia,2020-02,0
Virginia,2020-03,1249
Virginia,2020-04,14597
Virginia,2020-05,28730
Virginia,2020-06,18133
Virginia,2020-07,27020
Virginia,2020-08,30865
Virginia,2020-09,27677
Virginia,2020-10,16967
Washington,2020-01,1
Washington,2020-02,9
Washington,2020-03,5283
Washington,2020-04,9521
Washington,2020-05,8000
Washington,2020-06,11727
Washington,2020-07,24184
Washington,2020-08,18993
Washington,2020-09,13842
Washington,2020-10,10494
West Virginia,2020-01,0
West Virginia,2020-02,0
West Virginia,2020-03,162
West Virginia,2020-04,964
West Virginia,2020-05,884
West Virginia,2020-06,894
West Virginia,2020-07,3738
West Virginia,2020-08,3608
West Virginia,2020-09,5598
West Virginia,2020-10,3953
Wisconsin,2020-01,0
Wisconsin,2020-02,1
Wisconsin,2020-03,1350
Wisconsin,2020-04,5622
Wisconsin,2020-05,11711
Wisconsin,2020-06,13039
Wisconsin,2020-07,25297
Wisconsin,2020-08,23713
Wisconsin,2020-09,48439
Wisconsin,2020-10,46480
Wyoming,2020-01,0
Wyoming,2020-02,0
Wyoming,2020-03,121
Wyoming,2020-04,438
Wyoming,2020-05,344
Wyoming,2020-06,584
Wyoming,2020-07,1239
Wyoming,2020-08,1116
Wyoming,2020-09,2106
Wyoming,2020-10,2868
